"id","varname","type","ESS07","ESS08","ESS09","ESS10","ESS10SC","ESS10UA","ESS11","ESS11SC","flag","values","R07_Y","R08_Y","R09_Y","R10_Y","R11_Y","R07_Z","R08_Z","R09_Z","R10_Z","R11_Z"
23,"pplhlp","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",5.115,5.19,4.962,4.781,4.975,0.996,0.996,0.996,0.995,0.996
24,"ppltrst","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",5.201,5.255,5.047,4.724,4.995,0.998,0.997,0.997,0.995,0.997
25,"rlgdgr","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",4.309,4.46,4.496,4.403,4.641,0.993,0.991,0.99,0.985,0.992
26,"stfdem","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",5.088,5.088,5.066,5.087,4.87,0.971,0.966,0.963,0.978,0.968
27,"stfeco","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",4.688,4.936,5.128,4.683,4.36,0.984,0.98,0.975,0.982,0.983
28,"stfedu","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",5.468,5.569,5.596,4.945,4.986,0.958,0.965,0.962,0.963,0.958
29,"stfgov","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",4.079,4.334,4.307,4.21,3.933,0.971,0.974,0.965,0.979,0.97
30,"stfhlth","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",5.65,5.579,5.5,5.383,5.05,0.993,0.993,0.993,0.992,0.992
31,"stflife","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",7.07,7.125,7.074,6.877,7.043,0.997,0.996,0.995,0.991,0.992
32,"trstep","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",3.843,3.937,4.154,4.263,4.244,0.918,0.922,0.926,0.95,0.937
33,"trstlgl","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",5.244,5.314,5.226,5.073,5.257,0.981,0.981,0.98,0.983,0.979
34,"trstplc","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",6.204,6.353,6.371,6.109,6.31,0.993,0.993,0.993,0.991,0.99
35,"trstplt","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",3.522,3.597,3.59,3.379,3.518,0.987,0.985,0.982,0.987,0.985
36,"trstprl","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",4.392,4.496,4.419,4.358,4.32,0.98,0.98,0.977,0.982,0.98
37,"trstprt","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",3.509,3.56,3.534,3.356,3.495,0.982,0.981,0.979,0.984,0.982
38,"trstun","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",4.676,4.624,4.708,4.642,4.627,0.92,0.922,0.911,0.94,0.929
39,"wkdcorga","Likert",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1,2,3,4,5,6,7,8,9,10",5.678,5.658,5.429,5.394,5.485,0.911,0.912,0.904,0.873,0.89
40,"atncrse","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.309,0.289,0.277,0.269,0.255,0.994,0.995,0.996,0.972,0.991
41,"brncntr","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.887,0.894,0.902,0.908,0.907,1,1,0.999,0.995,0.998
42,"chldhhe","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.332,0.336,0.345,0.31,0.352,0.638,0.649,0.648,0.645,0.667
43,"clsprty","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.499,0.455,0.465,0.445,0.437,0.979,0.973,0.973,0.974,0.976
44,"crmvct","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.169,0.148,0.133,0.107,0.105,0.997,0.996,0.996,0.992,0.996
45,"crpdwk","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.019,0.019,0.027,0.03,0.028,0.475,0.453,0.46,0.441,0.462
46,"ctzcntr","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.947,0.954,0.952,0.948,0.95,0.999,1,0.999,0.994,0.998
47,"dscrage","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.013,0.011,0.01,0.014,0.013,1,1,1,1,1
48,"dscrdk","Binary",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"0,1",0.001,0.001,0.001,0.001,0.001,1,1,1,1,1
49,"dscrdsb","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.007,0.008,0.007,0.009,0.007,1,1,1,1,1
50,"dscretn","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.01,0.011,0.009,0.012,0.012,1,1,1,1,1
51,"dscrgnd","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.01,0.012,0.01,0.019,0.015,1,1,1,1,1
52,"dscrgrp","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.081,0.081,0.075,0.095,0.086,0.991,0.992,0.991,0.983,0.99
53,"dscrlng","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.012,0.012,0.007,0.014,0.007,1,1,1,1,1
54,"dscrna","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0,0,0,0.002,0.001,1,1,1,1,1
55,"dscrnap","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.919,0.919,0.925,0.903,0.913,1,1,1,1,1
56,"dscrntn","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.02,0.018,0.015,0.022,0.019,1,1,1,1,1
57,"dscroth","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.018,0.017,0.019,0.019,0.016,1,1,1,1,1
58,"dscrrce","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.014,0.011,0.009,0.013,0.012,1,1,1,1,1
59,"dscrref","Binary",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"0,1",0,0.001,0.001,0.001,0.001,1,1,1,1,1
60,"dscrrlg","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.017,0.019,0.013,0.019,0.016,1,1,1,1,1
61,"dscrsex","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"0,1",0.006,0.004,0.005,0.011,0.009,1,1,1,1,1
63,"dvrcdeva","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.163,0.16,0.156,0.151,0.157,0.993,0.994,0.996,0.977,0.993
64,"emplrel","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2,3",0.795,0.79,0.79,0.76,0.766,0.917,0.916,0.908,0.878,0.893
65,"facntr","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.821,0.837,0.86,0.861,0.867,0.994,0.995,0.995,0.99,0.995
66,"gndr","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.47,0.474,0.465,0.464,0.465,0.999,1,1,0.99,0.998
68,"lvgptnea","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.272,0.278,0.358,0.293,0.295,0.868,0.887,0.89,0.856,0.864
69,"mocntr","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.832,0.847,0.867,0.866,0.87,0.998,0.998,0.998,0.992,0.997
70,"pdjobev","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.377,0.355,0.354,0.317,0.338,0.455,0.433,0.435,0.402,0.433
71,"rlgblg","Binary",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"1,2",0.574,0.593,0.595,0.613,0.641,0.996,0.993,0.993,0.992,0.993
72,"rlgblge","Binary",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"1,2",0.107,0.102,0.105,0.084,0.108,0.422,0.402,0.399,0.38,0.353
73,"scrlgblg","Binary",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"1,2,3",,,,0.547,0.228,,,,0.981,0.967
74,"uemp12m","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.127,0.12,0.134,0.129,0.108,0.281,0.28,0.285,0.274,0.26
75,"uemp3m","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.282,0.281,0.287,0.276,0.262,0.996,0.995,0.994,0.971,0.99
76,"uemp5yr","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.133,0.131,0.12,0.113,0.1,0.281,0.279,0.285,0.273,0.261
77,"vote","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2,3",0.693,0.694,0.717,0.746,0.731,0.992,0.989,0.988,0.987,0.99
78,"wrkac6m","Binary",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1,2",0.057,0.054,0.065,0.058,0.062,0.918,0.917,0.914,0.879,0.896
